"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"tseries","tseries","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.10-52",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"tsfeatures","tsfeatures","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.1",NA,"R (>= 3.6.0)","fracdiff, forecast (>= 8.3), purrr, RcppRoll (>= 0.2.2),
stats, tibble, tseries, urca, future, furrr",NA,"testthat, knitr, rmarkdown, ggplot2, tidyr, dplyr, Mcomp,
GGally",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"TTR","TTR","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.24.3",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"tzdb","tzdb","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.3.0",NA,"R (>= 3.4.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"urca","urca","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.3-3",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"utf8","utf8","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"uuid","uuid","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.1-0",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"vctrs","vctrs","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.5.0",NA,"R (>= 3.3)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.0.6)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), withr, xml2, waldo (>= 0.2.0),
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"viridisLite","viridisLite","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.4.1",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"vroom","vroom","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.6.0",NA,"R (>= 3.4)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle, methods,
rlang (>= 0.4.2), stats, tibble (>= 2.0.0), tidyselect, tzdb
(>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"warp","warp","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.2.0",NA,"R (>= 3.2)",NA,NA,"covr, testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"withr","withr","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"xfun","xfun","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.35",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, magick, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xml2","xml2","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.3.3",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xts","xts","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","0.12.2",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"yaml","yaml","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","2.3.6",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"zoo","zoo","/Users/berat/Desktop/Project/SET/renv/library/R-4.2/aarch64-apple-darwin20","1.8-11",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"base","base","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,NA,NA,"methods",NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"boot","boot","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.2"
"class","class","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","7.3-20","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"cluster","cluster","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"codetools","codetools","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.2"
"compiler","compiler","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,NA,NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"datasets","datasets","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,NA,NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"foreign","foreign","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","0.8-83","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"graphics","graphics","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"grDevices",NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"grDevices","grDevices","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"grid","grid","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"KernSmooth","KernSmooth","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.2.2"
"lattice","lattice","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","0.20-45","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"MASS","MASS","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","7.3-58.1","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"Matrix","Matrix","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","1.5-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.2"
"methods","methods","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"mgcv","mgcv","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","1.8-41","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"nlme","nlme","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","3.1-160","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"nnet","nnet","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","7.3-18","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"parallel","parallel","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"rpart","rpart","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.1.19","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"spatial","spatial","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","7.3-15","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"splines","splines","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"stats","stats","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"stats4","stats4","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"survival","survival","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","3.4-0","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"tcltk","tcltk","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,"utils",NA,NA,NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"tools","tools","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr",NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
"utils","utils","/Users/berat/Desktop/Project/SET/renv/sandbox/R-4.2/aarch64-apple-darwin20/84ba8b13","4.2.2","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.2.2",NA,NA,NA,NA,"yes","4.2.2"
